epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.297,1.68165,2.39437,1.56961,0.55987,0.4571,0.46685,0.21163,1.93855,2.21044,1.69546,0.00332852,0.00332852,0.00332852
2,327.926,1.6777,1.80344,1.53698,0.56702,0.49276,0.48945,0.2194,1.90961,1.9793,1.72077,0.00663547,0.00663547,0.00663547
3,483.683,1.74985,1.76993,1.58903,0.51918,0.40428,0.40774,0.1679,2.15673,2.21647,1.98131,0.00991602,0.00991602,0.00991602
4,639.094,1.80295,1.79621,1.64698,0.48472,0.38645,0.38538,0.16745,2.11605,2.1088,1.97601,0.0098812,0.0098812,0.0098812
5,795.027,1.74648,1.68646,1.61528,0.64408,0.49521,0.54315,0.24995,1.93213,1.74816,1.77744,0.0098416,0.0098416,0.0098416
6,950.512,1.70209,1.62459,1.5813,0.61668,0.50279,0.54071,0.2579,1.9098,1.74631,1.77174,0.009802,0.009802,0.009802
7,1105.57,1.68365,1.5766,1.57779,0.67489,0.53354,0.59097,0.28699,1.89635,1.60211,1.74109,0.0097624,0.0097624,0.0097624
8,1260.75,1.65862,1.53399,1.56107,0.67016,0.54268,0.59612,0.29224,1.87418,1.62192,1.75484,0.0097228,0.0097228,0.0097228
9,1415.97,1.63309,1.50194,1.55016,0.65739,0.56675,0.61444,0.30151,1.84403,1.53203,1.71312,0.0096832,0.0096832,0.0096832
10,1572.24,1.63267,1.49622,1.54305,0.67329,0.54847,0.61183,0.30525,1.84113,1.52029,1.70254,0.0096436,0.0096436,0.0096436
11,1727.74,1.61462,1.45534,1.52749,0.67797,0.55694,0.61881,0.30996,1.81086,1.51443,1.70262,0.009604,0.009604,0.009604
12,1883.08,1.59276,1.41713,1.50809,0.69253,0.54981,0.632,0.32071,1.80723,1.46792,1.65623,0.0095644,0.0095644,0.0095644
13,2037.9,1.59046,1.41108,1.51026,0.67845,0.57856,0.62636,0.32007,1.79786,1.47744,1.67017,0.0095248,0.0095248,0.0095248
14,2193.1,1.58009,1.3931,1.50884,0.71818,0.59684,0.66532,0.33851,1.7779,1.40454,1.63022,0.0094852,0.0094852,0.0094852
15,2348.45,1.57095,1.37619,1.50139,0.69634,0.58874,0.65184,0.32855,1.7736,1.40219,1.65424,0.0094456,0.0094456,0.0094456
16,2503.48,1.54547,1.35049,1.47678,0.72013,0.59505,0.67623,0.34353,1.7709,1.35795,1.64921,0.009406,0.009406,0.009406
