epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.993,1.68165,2.39437,1.56961,0.55987,0.4571,0.46685,0.21163,1.93855,2.21044,1.69546,0.00332852,0.00332852,0.00332852
2,327.36,1.67614,1.79504,1.52886,0.54709,0.45066,0.44986,0.19801,2.0098,1.94581,1.75633,0.0065959,0.0065959,0.0065959
3,483.705,1.74937,1.76986,1.59625,0.48202,0.41319,0.38546,0.16243,2.07556,2.45305,1.90913,0.00979728,0.00979728,0.00979728
4,638.466,1.80423,1.8003,1.65472,0.59156,0.44373,0.47014,0.21753,2.03984,1.91746,1.86277,0.009703,0.009703,0.009703
5,793.389,1.74547,1.69203,1.61634,0.45123,0.3421,0.32637,0.14533,2.26166,2.27796,2.049,0.009604,0.009604,0.009604
6,948.267,1.7029,1.62374,1.59021,0.57525,0.47478,0.50286,0.23931,1.95334,1.80191,1.83249,0.009505,0.009505,0.009505
7,1102.9,1.67932,1.57436,1.57853,0.62778,0.54892,0.57693,0.27953,1.86187,1.62517,1.71697,0.009406,0.009406,0.009406
8,1257.74,1.65652,1.53537,1.56385,0.66525,0.53532,0.59274,0.29335,1.86017,1.60855,1.71852,0.009307,0.009307,0.009307
9,1413.65,1.62779,1.49725,1.55319,0.63899,0.54736,0.58843,0.29272,1.85585,1.5577,1.73461,0.009208,0.009208,0.009208
10,1568.64,1.62998,1.4912,1.55159,0.67569,0.55395,0.61542,0.3119,1.82089,1.53105,1.68884,0.009109,0.009109,0.009109
11,1723.32,1.60968,1.44668,1.52253,0.68218,0.58027,0.63594,0.31733,1.8245,1.45986,1.70694,0.00901,0.00901,0.00901
12,1878.01,1.58669,1.41047,1.50569,0.68161,0.56051,0.62402,0.31699,1.7842,1.46074,1.65905,0.008911,0.008911,0.008911
13,2032.69,1.5892,1.40679,1.50732,0.71337,0.58324,0.64999,0.3309,1.77383,1.45909,1.64531,0.008812,0.008812,0.008812
14,2187.48,1.57064,1.38317,1.50603,0.70188,0.60441,0.66465,0.3413,1.78424,1.38113,1.64634,0.008713,0.008713,0.008713
15,2342.33,1.56608,1.36387,1.49825,0.69486,0.56697,0.63745,0.32565,1.77745,1.44335,1.68228,0.008614,0.008614,0.008614
16,2497.37,1.53931,1.34523,1.48067,0.70515,0.62291,0.6771,0.35116,1.75372,1.3722,1.63547,0.008515,0.008515,0.008515
17,2652.18,1.5333,1.32367,1.46987,0.73041,0.62514,0.69935,0.36374,1.74378,1.3014,1.62596,0.008416,0.008416,0.008416
18,2806.87,1.53559,1.32073,1.47361,0.72785,0.61578,0.68293,0.35417,1.75967,1.33695,1.64468,0.008317,0.008317,0.008317
19,2961.6,1.52912,1.31497,1.46979,0.71569,0.62946,0.69309,0.3719,1.70464,1.28307,1.59428,0.008218,0.008218,0.008218
20,3116.96,1.50779,1.2904,1.45648,0.74651,0.63138,0.70668,0.37544,1.70214,1.29179,1.60796,0.008119,0.008119,0.008119
21,3272.15,1.50494,1.27713,1.45567,0.74645,0.6316,0.71054,0.37843,1.6867,1.26014,1.59376,0.00802,0.00802,0.00802
22,3426.94,1.49169,1.27362,1.45033,0.736,0.64899,0.71958,0.38607,1.67163,1.25192,1.58211,0.007921,0.007921,0.007921
23,3582.02,1.48871,1.24616,1.43979,0.73335,0.65478,0.71632,0.38691,1.69415,1.22476,1.58039,0.007822,0.007822,0.007822
24,3736.62,1.49265,1.24356,1.44139,0.76039,0.64943,0.73042,0.39663,1.66625,1.20888,1.57926,0.007723,0.007723,0.007723
25,3891.18,1.48261,1.24072,1.43784,0.76335,0.65478,0.73754,0.40132,1.66564,1.19716,1.56366,0.007624,0.007624,0.007624
26,4045.67,1.46947,1.22523,1.43359,0.76319,0.66191,0.73954,0.40272,1.66119,1.17688,1.57301,0.007525,0.007525,0.007525
27,4201.01,1.46404,1.22552,1.43368,0.7614,0.66637,0.74343,0.41259,1.63123,1.16236,1.54325,0.007426,0.007426,0.007426
28,4355.34,1.45459,1.20572,1.41707,0.7647,0.69024,0.75699,0.41895,1.64645,1.13691,1.54816,0.007327,0.007327,0.007327
29,4510.08,1.45606,1.20375,1.41736,0.76736,0.67116,0.74605,0.41597,1.62774,1.1684,1.53812,0.007228,0.007228,0.007228
30,4664.21,1.44343,1.18846,1.407,0.7945,0.67618,0.76528,0.43145,1.60702,1.1204,1.51179,0.007129,0.007129,0.007129
