epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.359,1.79199,2.14575,1.66698,0.51571,0.41698,0.41847,0.17979,2.11934,2.07375,1.9386,0.000666185,0.000666185,0.000666185
2,437.251,1.82302,1.88747,1.70985,0.51768,0.40517,0.40271,0.17156,2.1159,2.11059,1.94888,0.00126688,0.00126688,0.00126688
3,644.064,1.78431,1.81528,1.67489,0.5666,0.4805,0.48726,0.20897,1.99085,1.86023,1.83889,0.00180157,0.00180157,0.00180157
4,848.383,1.74353,1.72556,1.65418,0.62687,0.47649,0.52336,0.24483,1.93471,1.73525,1.82623,0.001703,0.001703,0.001703
5,1052.62,1.70047,1.64919,1.61436,0.63614,0.50264,0.55168,0.26384,1.91651,1.69026,1.79168,0.001604,0.001604,0.001604
6,1256.71,1.6609,1.58629,1.58865,0.6746,0.54624,0.60256,0.29113,1.86707,1.56291,1.76551,0.001505,0.001505,0.001505
7,1461.52,1.65171,1.55866,1.58052,0.66697,0.52039,0.57966,0.28861,1.85057,1.59057,1.74906,0.001406,0.001406,0.001406
8,1666.07,1.62457,1.51242,1.56592,0.70338,0.57076,0.62969,0.31455,1.832,1.48122,1.71699,0.001307,0.001307,0.001307
9,1870.58,1.59997,1.47224,1.5458,0.67135,0.58837,0.64021,0.32523,1.78811,1.45335,1.68908,0.001208,0.001208,0.001208
10,2074.81,1.58168,1.45641,1.53116,0.68766,0.57054,0.63274,0.32814,1.78939,1.47118,1.69308,0.001109,0.001109,0.001109
11,2277.97,1.57216,1.33393,1.53816,0.71093,0.59252,0.65713,0.33324,1.77821,1.38592,1.6771,0.00101,0.00101,0.00101
12,2480.24,1.53559,1.2731,1.5098,0.71378,0.61025,0.68255,0.35966,1.72544,1.33354,1.64192,0.000911,0.000911,0.000911
13,2681.35,1.50782,1.23874,1.49321,0.69615,0.61511,0.67575,0.35992,1.71474,1.31357,1.66103,0.000812,0.000812,0.000812
14,2882.53,1.49118,1.19941,1.47924,0.73845,0.61043,0.70421,0.37784,1.67669,1.27929,1.62437,0.000713,0.000713,0.000713
15,3084.24,1.46397,1.1609,1.46043,0.74947,0.62313,0.71117,0.38083,1.66989,1.26202,1.61047,0.000614,0.000614,0.000614
16,3285.73,1.44013,1.13473,1.44237,0.74165,0.65411,0.7252,0.39572,1.64257,1.23472,1.58076,0.000515,0.000515,0.000515
17,3486.58,1.42333,1.10406,1.42859,0.74733,0.65322,0.7328,0.40141,1.64748,1.19781,1.58627,0.000416,0.000416,0.000416
18,3687.98,1.39794,1.07485,1.40841,0.75535,0.66674,0.74435,0.41392,1.62172,1.16411,1.55717,0.000317,0.000317,0.000317
19,3889.82,1.37576,1.03534,1.38713,0.74826,0.66773,0.74637,0.41975,1.60882,1.15798,1.55233,0.000218,0.000218,0.000218
20,4090.74,1.35568,1.01295,1.37848,0.76568,0.67729,0.75343,0.42798,1.58847,1.13237,1.54803,0.000119,0.000119,0.000119
