epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,630.153,1.82936,2.23882,1.7111,0.48837,0.42723,0.39732,0.16074,2.1094,2.12448,1.9647,0.000666426,0.000666426,0.000666426
2,1220.05,1.84939,1.9729,1.74246,0.56321,0.47114,0.47653,0.20881,2.00818,1.93801,1.92639,0.0012671,0.0012671,0.0012671
3,1804.59,1.81166,1.89251,1.71046,0.57444,0.45086,0.4786,0.22411,1.96547,1.87203,1.86585,0.00180178,0.00180178,0.00180178
4,2381.15,1.76679,1.81388,1.6836,0.62023,0.51014,0.54065,0.24887,1.94103,1.70807,1.83857,0.001703,0.001703,0.001703
5,2917.12,1.71836,1.71338,1.65059,0.63369,0.5224,0.55532,0.26154,1.89743,1.68835,1.78527,0.001604,0.001604,0.001604
6,3452.77,1.71054,1.67012,1.6285,0.66456,0.49848,0.56873,0.26993,1.8683,1.64864,1.75074,0.001505,0.001505,0.001505
7,3987.44,1.66605,1.60545,1.60139,0.67683,0.54892,0.60917,0.30258,1.8348,1.55696,1.74483,0.001406,0.001406,0.001406
8,4523.92,1.64428,1.58112,1.58584,0.6912,0.54558,0.61683,0.30294,1.83896,1.59291,1.74175,0.001307,0.001307,0.001307
9,5058.72,1.62268,1.54758,1.5776,0.71257,0.57019,0.64027,0.3199,1.80463,1.49575,1.70955,0.001208,0.001208,0.001208
10,5595.14,1.5974,1.51324,1.56243,0.66598,0.56363,0.61937,0.31694,1.80441,1.51267,1.69783,0.001109,0.001109,0.001109
11,6158.49,1.59256,1.39231,1.56874,0.70058,0.57464,0.64353,0.32583,1.78461,1.44446,1.69517,0.00101,0.00101,0.00101
12,6683.51,1.56226,1.33928,1.55028,0.70091,0.59175,0.65883,0.33999,1.73106,1.41011,1.65666,0.000911,0.000911,0.000911
13,7210.5,1.5405,1.29713,1.52857,0.70679,0.59394,0.66364,0.345,1.73093,1.38113,1.66562,0.000812,0.000812,0.000812
14,7736.05,1.51342,1.25949,1.50803,0.72687,0.60686,0.68447,0.35679,1.71075,1.33807,1.64112,0.000713,0.000713,0.000713
15,8263.15,1.48381,1.22376,1.49474,0.72104,0.61734,0.69079,0.35826,1.71982,1.31067,1.63238,0.000614,0.000614,0.000614
16,8787.98,1.46001,1.19221,1.47126,0.73619,0.61821,0.70022,0.37521,1.68221,1.28483,1.62134,0.000515,0.000515,0.000515
17,9315.35,1.4407,1.15941,1.45323,0.7407,0.63539,0.71069,0.38148,1.68164,1.26204,1.61531,0.000416,0.000416,0.000416
18,9841.26,1.42222,1.13429,1.44334,0.75331,0.63836,0.72104,0.38927,1.65776,1.22941,1.59942,0.000317,0.000317,0.000317
19,10367.7,1.40082,1.10347,1.42783,0.75809,0.65091,0.73103,0.39078,1.67488,1.216,1.60458,0.000218,0.000218,0.000218
20,10892.9,1.38006,1.07108,1.41428,0.75762,0.64341,0.72596,0.39307,1.65242,1.21109,1.59299,0.000119,0.000119,0.000119
