epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.2648,2.13823,2.47263,2.00267,0.09496,0.10577,0.03627,0.01085,2.91632,6.82855,3.25691,0.0701,0.00332222,0.00332222
2,95.921,2.15959,2.40098,2.08186,0.31607,0.28098,0.22263,0.08504,2.32224,9.81313,2.39817,0.0397706,0.00632611,0.00632611
3,139.429,2.08092,2.26245,2.01309,0.27786,0.26816,0.1904,0.06985,2.49162,3.15247,2.4492,0.0091111,0.00899999,0.00899999
4,181.904,2.01783,2.16684,1.94413,0.4221,0.31517,0.29497,0.1202,2.21489,2.41859,2.23071,0.008515,0.008515,0.008515
5,224.48,1.97057,2.07829,1.8933,0.4896,0.40064,0.39763,0.17879,1.96995,2.07796,1.97064,0.00802,0.00802,0.00802
6,266.731,1.90398,1.97974,1.85398,0.50544,0.36577,0.36698,0.15559,2.04663,2.5191,2.01942,0.007525,0.007525,0.007525
7,308.876,1.92373,1.9635,1.85929,0.54039,0.45513,0.4655,0.22154,1.9291,1.93016,1.92635,0.00703,0.00703,0.00703
8,351.177,1.85926,1.87883,1.80896,0.62238,0.43492,0.48153,0.22721,1.92864,1.93943,1.91708,0.006535,0.006535,0.006535
9,393.9,1.85235,1.84877,1.79851,0.6066,0.42502,0.46877,0.2212,1.96711,1.95378,1.98878,0.00604,0.00604,0.00604
10,436.25,1.81378,1.79924,1.78464,0.61598,0.45085,0.48818,0.23276,1.90574,1.89559,1.92037,0.005545,0.005545,0.005545
11,479.086,1.81963,1.76364,1.82617,0.58066,0.42842,0.46765,0.22592,1.93432,1.93021,1.94235,0.00505,0.00505,0.00505
12,521.075,1.82338,1.71179,1.81982,0.66392,0.45726,0.52339,0.25304,1.89789,1.74723,1.90154,0.004555,0.004555,0.004555
13,562.817,1.76003,1.60399,1.77444,0.58184,0.48908,0.51337,0.25699,1.87742,1.82243,1.91011,0.00406,0.00406,0.00406
14,604.205,1.7495,1.58311,1.76526,0.63209,0.48718,0.53405,0.28305,1.87863,1.74832,1.91309,0.003565,0.003565,0.003565
15,645.727,1.7284,1.54364,1.74649,0.68735,0.52564,0.59084,0.30767,1.81221,1.60773,1.83374,0.00307,0.00307,0.00307
16,687.452,1.70302,1.51198,1.71305,0.66677,0.51734,0.5791,0.29431,1.82307,1.66266,1.82357,0.002575,0.002575,0.002575
17,728.822,1.67191,1.46717,1.70159,0.63215,0.53205,0.58837,0.30487,1.80101,1.60912,1.79045,0.00208,0.00208,0.00208
18,770.235,1.65798,1.41811,1.66992,0.71339,0.54248,0.61889,0.32781,1.75753,1.5269,1.76034,0.001585,0.001585,0.001585
19,811.608,1.62471,1.36766,1.65426,0.66966,0.59295,0.63271,0.33178,1.74395,1.49748,1.77656,0.00109,0.00109,0.00109
20,853.361,1.59963,1.33523,1.64201,0.70078,0.573,0.64479,0.35205,1.69753,1.44615,1.72378,0.000595,0.000595,0.000595
