epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.882,1.8867,2.50899,1.72024,0.41904,0.38838,0.32925,0.13745,2.05285,2.38314,1.93507,0.000665556,0.000665556,0.000665556
2,235.72,1.94102,2.15591,1.78603,0.50349,0.40705,0.41065,0.18427,1.98078,2.29512,1.89392,0.00126628,0.00126628,0.00126628
3,358.961,1.92649,2.06506,1.79183,0.53001,0.39957,0.40618,0.18075,2.03936,2.16011,1.97708,0.001801,0.001801,0.001801
4,476.962,1.91225,1.97245,1.76754,0.57583,0.49359,0.51289,0.22918,1.96541,2.02056,1.86996,0.001703,0.001703,0.001703
5,590.165,1.84082,1.88636,1.73065,0.65231,0.46261,0.50661,0.24824,1.92759,1.8598,1.88063,0.001604,0.001604,0.001604
6,703.579,1.81506,1.80458,1.70617,0.60208,0.50748,0.54795,0.26775,1.91653,1.7656,1.84935,0.001505,0.001505,0.001505
7,817.385,1.77937,1.72391,1.66962,0.5882,0.5158,0.55009,0.2648,1.85807,1.72172,1.79042,0.001406,0.001406,0.001406
8,932.141,1.75336,1.67539,1.66802,0.65082,0.53098,0.58451,0.30333,1.80161,1.66476,1.7663,0.001307,0.001307,0.001307
9,1044.97,1.73854,1.65035,1.65847,0.64102,0.52671,0.57089,0.28483,1.84873,1.61237,1.76281,0.001208,0.001208,0.001208
10,1158.36,1.69409,1.54857,1.61263,0.69123,0.54274,0.60501,0.30708,1.78948,1.57285,1.74714,0.001109,0.001109,0.001109
11,1289.84,1.70891,1.50655,1.67848,0.64051,0.54167,0.58874,0.31384,1.74037,1.60241,1.71929,0.00101,0.00101,0.00101
12,1401.81,1.67342,1.44957,1.64608,0.69048,0.53846,0.61524,0.33513,1.73515,1.53265,1.68252,0.000911,0.000911,0.000911
13,1514.54,1.64,1.41469,1.62189,0.68437,0.58013,0.6404,0.33936,1.74055,1.48358,1.71966,0.000812,0.000812,0.000812
14,1627.56,1.60891,1.35701,1.60303,0.65629,0.5814,0.64095,0.34317,1.71964,1.46761,1.6828,0.000713,0.000713,0.000713
15,1742.24,1.57545,1.30611,1.56405,0.68719,0.6453,0.68064,0.37556,1.68085,1.38217,1.63105,0.000614,0.000614,0.000614
16,1854.97,1.55715,1.26041,1.5485,0.73073,0.61538,0.6881,0.37482,1.6907,1.33038,1.65193,0.000515,0.000515,0.000515
17,1967.02,1.52234,1.21033,1.54552,0.73528,0.63208,0.7117,0.40173,1.61385,1.29108,1.61886,0.000416,0.000416,0.000416
18,2080.05,1.49495,1.1646,1.50342,0.78145,0.61885,0.70701,0.40217,1.62588,1.28828,1.61458,0.000317,0.000317,0.000317
19,2193.3,1.46422,1.13831,1.4902,0.76924,0.65064,0.72355,0.42108,1.5847,1.19879,1.58971,0.000218,0.000218,0.000218
20,2306.25,1.4425,1.09974,1.48139,0.75848,0.67094,0.74095,0.43075,1.55531,1.20134,1.57403,0.000119,0.000119,0.000119
