epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.157,1.8867,2.50899,1.72024,0.41904,0.38838,0.32925,0.13745,2.05285,2.38314,1.93507,0.000665556,0.000665556,0.000665556
2,240.097,1.94882,2.17207,1.79935,0.46018,0.36612,0.33344,0.14097,2.14869,2.35552,2.0217,0.00132695,0.00132695,0.00132695
3,356.566,1.94029,2.06442,1.81492,0.42658,0.34936,0.34587,0.14664,2.11351,2.22258,2.03104,0.00198306,0.00198306,0.00198306
4,472.091,1.91784,2.00223,1.79296,0.54669,0.44066,0.45693,0.21643,1.95195,1.92651,1.89462,0.00197624,0.00197624,0.00197624
5,587.159,1.87565,1.94039,1.7686,0.55351,0.47863,0.48432,0.2218,1.95304,1.89732,1.86495,0.00196832,0.00196832,0.00196832
6,702.045,1.85672,1.88858,1.73159,0.62943,0.48504,0.53186,0.25204,1.88989,1.84035,1.82167,0.0019604,0.0019604,0.0019604
7,817.568,1.81675,1.78491,1.70741,0.60416,0.49145,0.51108,0.23747,1.91551,1.74575,1.81241,0.00195248,0.00195248,0.00195248
8,933.362,1.81765,1.78751,1.70952,0.65789,0.48718,0.54038,0.25579,1.89571,1.78825,1.87768,0.00194456,0.00194456,0.00194456
9,1047.86,1.8025,1.75687,1.71532,0.64317,0.49038,0.54712,0.27321,1.87908,1.75609,1.81668,0.00193664,0.00193664,0.00193664
10,1163.35,1.75206,1.65875,1.66755,0.62957,0.49145,0.53408,0.27002,1.83531,1.71679,1.78331,0.00192872,0.00192872,0.00192872
11,1279.37,1.76296,1.68524,1.68145,0.62992,0.51816,0.56571,0.295,1.79954,1.65747,1.75236,0.0019208,0.0019208,0.0019208
12,1395.05,1.72258,1.62685,1.65004,0.66326,0.4798,0.54581,0.28587,1.80895,1.61886,1.77684,0.00191288,0.00191288,0.00191288
13,1510.68,1.73344,1.65551,1.66181,0.65295,0.55983,0.59002,0.31223,1.75885,1.57695,1.70134,0.00190496,0.00190496,0.00190496
14,1625.98,1.71844,1.60991,1.6351,0.66285,0.50641,0.56372,0.28274,1.86561,1.65339,1.7978,0.00189704,0.00189704,0.00189704
15,1741.03,1.68608,1.56239,1.62053,0.65333,0.56377,0.59687,0.30176,1.83314,1.54385,1.76456,0.00188912,0.00188912,0.00188912
16,1856.71,1.71672,1.5827,1.63512,0.68575,0.53098,0.59437,0.3055,1.80981,1.59455,1.76593,0.0018812,0.0018812,0.0018812
17,1972.08,1.70188,1.59635,1.61967,0.66031,0.53846,0.59388,0.30276,1.82877,1.63294,1.78735,0.00187328,0.00187328,0.00187328
18,2087.69,1.68828,1.51599,1.61139,0.68306,0.56873,0.63323,0.34254,1.74941,1.48747,1.70969,0.00186536,0.00186536,0.00186536
19,2202.37,1.67841,1.55544,1.61196,0.6746,0.60043,0.64116,0.34291,1.73421,1.4631,1.69852,0.00185744,0.00185744,0.00185744
20,2317.44,1.66659,1.50896,1.60662,0.69328,0.54594,0.6076,0.32491,1.75869,1.5363,1.73246,0.00184952,0.00184952,0.00184952
21,2433.57,1.64508,1.49089,1.59498,0.67364,0.55876,0.63539,0.33999,1.7488,1.48252,1.70078,0.0018416,0.0018416,0.0018416
22,2548.54,1.63544,1.47803,1.58736,0.71108,0.59081,0.64411,0.34991,1.6806,1.48089,1.68095,0.00183368,0.00183368,0.00183368
23,2664.05,1.64448,1.47272,1.58085,0.67003,0.5844,0.62742,0.34006,1.73313,1.52097,1.68246,0.00182576,0.00182576,0.00182576
24,2779.1,1.63784,1.45073,1.57184,0.71604,0.57923,0.65312,0.34855,1.74857,1.39929,1.68457,0.00181784,0.00181784,0.00181784
25,2895.3,1.63846,1.45757,1.58478,0.67491,0.57692,0.62641,0.33367,1.70615,1.49058,1.69517,0.00180992,0.00180992,0.00180992
26,3011.23,1.61006,1.40117,1.56523,0.65848,0.61218,0.65013,0.35714,1.70353,1.42053,1.68128,0.001802,0.001802,0.001802
27,3126.67,1.59432,1.41287,1.55318,0.70176,0.61218,0.66581,0.36355,1.67385,1.41928,1.65249,0.00179408,0.00179408,0.00179408
28,3242.01,1.59194,1.40796,1.55758,0.72734,0.55876,0.65287,0.35775,1.70671,1.45314,1.68371,0.00178616,0.00178616,0.00178616
29,3357.03,1.58004,1.35814,1.54648,0.66392,0.63248,0.6767,0.36812,1.66143,1.359,1.6487,0.00177824,0.00177824,0.00177824
30,3472.01,1.60073,1.39933,1.57102,0.74041,0.59422,0.68654,0.3734,1.69054,1.37776,1.66202,0.00177032,0.00177032,0.00177032
