epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.284,1.97126,2.57594,1.83027,0.37868,0.30235,0.27852,0.11926,2.20823,2.78437,2.06832,0.000665556,0.000665556,0.000665556
2,339.171,2.03681,2.1914,1.91348,0.32963,0.37393,0.2779,0.12355,2.09663,2.65883,2.01439,0.00132695,0.00132695,0.00132695
3,505,2.0081,2.12973,1.8964,0.46964,0.38355,0.38029,0.15927,2.12603,2.50834,2.07773,0.00198306,0.00198306,0.00198306
4,678.775,1.96895,2.0746,1.85962,0.51261,0.43162,0.43337,0.19184,1.99819,2.07318,1.94095,0.00197624,0.00197624,0.00197624
5,853.809,1.91796,1.99442,1.82723,0.56348,0.39029,0.41572,0.19725,2.03018,2.07962,1.98219,0.00196832,0.00196832,0.00196832
6,1024.34,1.88361,1.93135,1.79193,0.61579,0.44765,0.49102,0.23299,1.9544,1.88696,1.91751,0.0019604,0.0019604,0.0019604
7,1190.8,1.85097,1.84605,1.76581,0.5584,0.43269,0.46197,0.21966,1.97221,1.88518,1.90293,0.00195248,0.00195248,0.00195248
8,1357.06,1.82841,1.79585,1.75488,0.5676,0.41987,0.45675,0.22285,1.95173,1.93938,1.92137,0.00194456,0.00194456,0.00194456
9,1523.21,1.8142,1.77538,1.74701,0.61017,0.48495,0.50571,0.24251,1.94567,1.75917,1.8646,0.00193664,0.00193664,0.00193664
10,1689.61,1.76959,1.67191,1.70094,0.57579,0.52059,0.55647,0.2794,1.8607,1.68717,1.84036,0.00192872,0.00192872,0.00192872
11,1856.16,1.78511,1.70108,1.71173,0.6103,0.50195,0.50905,0.24579,1.8821,1.7429,1.84859,0.0019208,0.0019208,0.0019208
12,2022.3,1.72067,1.62138,1.68098,0.63912,0.53735,0.56662,0.28646,1.84228,1.60636,1.81062,0.00191288,0.00191288,0.00191288
13,2188.34,1.72878,1.65534,1.68706,0.65116,0.53312,0.58838,0.31185,1.78649,1.5989,1.76546,0.00190496,0.00190496,0.00190496
14,2354.34,1.7195,1.64076,1.66746,0.64296,0.51175,0.56384,0.28566,1.86607,1.68596,1.83619,0.00189704,0.00189704,0.00189704
