epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.933,1.80846,2.14364,1.68897,0.37799,0.3499,0.29815,0.12197,2.22008,2.47918,2.06445,0.000665703,0.000665703,0.000665703
2,497.445,1.8354,1.84651,1.71814,0.52387,0.40386,0.40905,0.1744,2.14544,2.04247,2.00481,0.00130599,0.00130599,0.00130599
3,738.576,1.79022,1.76499,1.67691,0.54544,0.45353,0.4532,0.19664,2.07088,1.91508,1.9065,0.00191987,0.00191987,0.00191987
4,978.809,1.7532,1.69894,1.64482,0.64457,0.4753,0.53079,0.25035,1.9431,1.75467,1.83623,0.0018812,0.0018812,0.0018812
5,1219.43,1.69534,1.60107,1.61743,0.64069,0.50813,0.5541,0.25557,1.92117,1.73458,1.78787,0.0018416,0.0018416,0.0018416
6,1459.99,1.66599,1.5485,1.58474,0.65343,0.54223,0.58345,0.27496,1.87445,1.63007,1.76813,0.001802,0.001802,0.001802
7,1700.55,1.64272,1.50707,1.57153,0.68298,0.55471,0.61405,0.2959,1.83718,1.57529,1.71019,0.0017624,0.0017624,0.0017624
8,1940.8,1.62649,1.48104,1.55443,0.6956,0.56385,0.62794,0.30943,1.85648,1.5317,1.72422,0.0017228,0.0017228,0.0017228
9,2181.08,1.59179,1.43543,1.534,0.68866,0.55962,0.61933,0.30285,1.86041,1.51254,1.75432,0.0016832,0.0016832,0.0016832
10,2421.65,1.58741,1.42385,1.52526,0.69943,0.58168,0.64942,0.32885,1.78759,1.4335,1.67721,0.0016436,0.0016436,0.0016436
11,2661.81,1.57119,1.38011,1.51063,0.68743,0.57967,0.63745,0.32599,1.78591,1.4368,1.69854,0.001604,0.001604,0.001604
12,2902.26,1.54806,1.35178,1.49516,0.69722,0.58168,0.64963,0.3296,1.78356,1.43957,1.6671,0.0015644,0.0015644,0.0015644
13,3142.6,1.54161,1.34343,1.49237,0.73257,0.58859,0.66306,0.34352,1.77333,1.38323,1.66916,0.0015248,0.0015248,0.0015248
14,3383.39,1.52949,1.31666,1.48867,0.71643,0.60584,0.67018,0.34388,1.7609,1.36826,1.64709,0.0014852,0.0014852,0.0014852
15,3624.01,1.51441,1.29714,1.4718,0.71336,0.61021,0.67527,0.3514,1.74086,1.34537,1.64218,0.0014456,0.0014456,0.0014456
16,3864.33,1.49197,1.27368,1.45239,0.73129,0.61065,0.68172,0.36136,1.72203,1.32671,1.62497,0.001406,0.001406,0.001406
17,4104.68,1.48679,1.25992,1.44729,0.74848,0.61613,0.69865,0.37373,1.70591,1.25244,1.62338,0.0013664,0.0013664,0.0013664
18,4344.85,1.48135,1.24857,1.4478,0.72319,0.62184,0.69,0.37491,1.6925,1.30112,1.61376,0.0013268,0.0013268,0.0013268
19,4585.16,1.47802,1.24473,1.44728,0.72458,0.64787,0.70503,0.38279,1.69362,1.25041,1.61944,0.0012872,0.0012872,0.0012872
20,4825.4,1.44975,1.21376,1.43156,0.74926,0.65723,0.72501,0.39982,1.64984,1.24882,1.58821,0.0012476,0.0012476,0.0012476
21,5065.56,1.44078,1.18851,1.42184,0.74037,0.65768,0.72431,0.3946,1.66505,1.19911,1.58706,0.001208,0.001208,0.001208
22,5305.73,1.4309,1.18605,1.42085,0.75145,0.65494,0.73193,0.4022,1.64623,1.17925,1.58986,0.0011684,0.0011684,0.0011684
23,5545.58,1.4169,1.1558,1.40457,0.75622,0.6842,0.74167,0.41027,1.65223,1.1467,1.58734,0.0011288,0.0011288,0.0011288
24,5785.66,1.41526,1.14914,1.39928,0.77452,0.67774,0.75041,0.42184,1.61817,1.13749,1.55447,0.0010892,0.0010892,0.0010892
25,6025.65,1.40293,1.14281,1.39597,0.76424,0.67907,0.75026,0.42329,1.60301,1.15472,1.53772,0.0010496,0.0010496,0.0010496
26,6265.99,1.39033,1.12186,1.38968,0.78665,0.67959,0.76071,0.42593,1.61787,1.11062,1.54952,0.00101,0.00101,0.00101
27,6505.82,1.38276,1.11658,1.38602,0.77373,0.68687,0.76089,0.43085,1.59942,1.10758,1.53466,0.0009704,0.0009704,0.0009704
28,6745.72,1.36775,1.0958,1.3677,0.78832,0.69044,0.77275,0.44208,1.58125,1.07934,1.51491,0.0009308,0.0009308,0.0009308
