epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,703.801,1.73779,2.46053,1.64109,0.52055,0.40807,0.42061,0.19148,1.96425,2.18825,1.83804,0.00333213,0.00333213,0.00333213
2,1356.52,1.73179,1.9571,1.59659,0.50904,0.40646,0.41385,0.17996,2.05083,2.10206,1.86347,0.00663907,0.00663907,0.00663907
3,2000.97,1.79715,1.92979,1.64698,0.49691,0.43905,0.42443,0.18314,2.00758,2.05535,1.83503,0.0099196,0.0099196,0.0099196
4,2642.01,1.83269,1.94271,1.68748,0.55012,0.43713,0.46455,0.20937,1.98703,1.91076,1.83188,0.0098812,0.0098812,0.0098812
5,3283.07,1.78744,1.8479,1.67493,0.59139,0.46668,0.49927,0.23396,1.94658,1.85336,1.8206,0.0098416,0.0098416,0.0098416
6,3924.28,1.7808,1.79787,1.66286,0.62492,0.50573,0.54873,0.25392,1.8938,1.76859,1.7877,0.009802,0.009802,0.009802
7,4564.64,1.73956,1.74147,1.63536,0.62722,0.52062,0.55811,0.2638,1.8719,1.70443,1.75264,0.0097624,0.0097624,0.0097624
8,5205.06,1.72877,1.72331,1.63303,0.65131,0.50828,0.56975,0.27585,1.85392,1.71695,1.74471,0.0097228,0.0097228,0.0097228
9,5846.17,1.70723,1.70042,1.62329,0.65073,0.53523,0.5787,0.27748,1.85441,1.67219,1.77138,0.0096832,0.0096832,0.0096832
10,6487.99,1.68173,1.65688,1.60822,0.64008,0.55026,0.57884,0.28502,1.82427,1.64149,1.73984,0.0096436,0.0096436,0.0096436
11,7129.79,1.67279,1.62093,1.59004,0.67786,0.52017,0.58474,0.29066,1.82792,1.62855,1.71166,0.009604,0.009604,0.009604
12,7770.34,1.65652,1.59539,1.58665,0.67036,0.55761,0.61209,0.30723,1.8073,1.5409,1.71042,0.0095644,0.0095644,0.0095644
13,8411.56,1.65252,1.58377,1.57913,0.69657,0.54647,0.62513,0.31618,1.78266,1.54231,1.68288,0.0095248,0.0095248,0.0095248
14,9052.08,1.64235,1.56797,1.56846,0.67696,0.5721,0.62451,0.31152,1.79833,1.56033,1.68488,0.0094852,0.0094852,0.0094852
15,9692.55,1.64179,1.55965,1.56336,0.68509,0.57793,0.63608,0.3128,1.79422,1.51222,1.68344,0.0094456,0.0094456,0.0094456
16,10333.2,1.63755,1.55586,1.56939,0.68577,0.56831,0.6322,0.31814,1.7762,1.50249,1.68468,0.009406,0.009406,0.009406
