epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.39,1.77544,2.1255,1.65699,0.54054,0.42055,0.43158,0.18147,2.11671,2.00392,1.9154,0.000666185,0.000666185,0.000666185
2,371.387,1.7966,1.85304,1.66926,0.54753,0.45524,0.47387,0.21048,2.00024,1.89442,1.84563,0.00126688,0.00126688,0.00126688
3,548.393,1.76623,1.80056,1.65007,0.58371,0.47047,0.49856,0.2169,1.99424,1.98517,1.82074,0.00180157,0.00180157,0.00180157
4,723.3,1.72881,1.70899,1.62796,0.60396,0.499,0.5396,0.25803,1.90653,1.70538,1.79176,0.001703,0.001703,0.001703
5,898.438,1.68759,1.63605,1.59567,0.59315,0.49833,0.52476,0.24882,1.91446,1.75718,1.79192,0.001604,0.001604,0.001604
6,1073.06,1.64441,1.56832,1.56345,0.65635,0.54246,0.59608,0.29018,1.85465,1.55261,1.74416,0.001505,0.001505,0.001505
7,1248.43,1.6373,1.54694,1.56034,0.66603,0.55068,0.60875,0.29746,1.83656,1.61531,1.70697,0.001406,0.001406,0.001406
8,1423.27,1.61183,1.50112,1.54796,0.67614,0.58069,0.62946,0.31217,1.79395,1.5126,1.69791,0.001307,0.001307,0.001307
9,1598.38,1.58217,1.46139,1.52729,0.66748,0.58636,0.6321,0.31881,1.80703,1.49389,1.68049,0.001208,0.001208,0.001208
10,1772.29,1.56456,1.4378,1.51308,0.65692,0.58859,0.64328,0.33287,1.77836,1.45345,1.66186,0.001109,0.001109,0.001109
11,1945.23,1.55281,1.32147,1.51675,0.71313,0.59416,0.66367,0.34039,1.77495,1.38972,1.65782,0.00101,0.00101,0.00101
12,2116.56,1.52514,1.26151,1.49674,0.72503,0.61088,0.68042,0.35617,1.73186,1.35302,1.6295,0.000911,0.000911,0.000911
13,2287.9,1.49746,1.23064,1.47683,0.74135,0.60263,0.68861,0.36386,1.71234,1.3254,1.62408,0.000812,0.000812,0.000812
14,2459.43,1.47655,1.18963,1.45903,0.74137,0.63673,0.70491,0.37449,1.69999,1.2898,1.6253,0.000713,0.000713,0.000713
15,2631.28,1.45204,1.15514,1.44438,0.74614,0.63584,0.71007,0.38586,1.68245,1.26976,1.60307,0.000614,0.000614,0.000614
16,2802.62,1.43217,1.11994,1.43217,0.74399,0.65901,0.72583,0.39667,1.66784,1.24416,1.58403,0.000515,0.000515,0.000515
17,2975.19,1.40565,1.08953,1.40968,0.76034,0.64965,0.73265,0.4024,1.65643,1.20942,1.58067,0.000416,0.000416,0.000416
18,3146.45,1.38526,1.06313,1.39472,0.75631,0.66793,0.74448,0.41191,1.63626,1.17155,1.56995,0.000317,0.000317,0.000317
19,3317.2,1.36422,1.02455,1.37984,0.77722,0.66882,0.75139,0.42021,1.61054,1.15295,1.54619,0.000218,0.000218,0.000218
20,3488.79,1.34209,0.99857,1.36408,0.77381,0.68163,0.75568,0.42356,1.6077,1.13786,1.55129,0.000119,0.000119,0.000119
